title,speaker,url,month,year
The most colorful gemstones on Earth,Jeff Dekofsky,/talks/jeff_dekofsky_the_most_colorful_gemstones_on_earth?language=en,Dec,2020
How to foster true diversity and inclusion at work (and in your community),Rosalind G. Brewer,/talks/rosalind_g_brewer_how_to_foster_true_diversity_and_inclusion_at_work_and_in_your_community?language=en,Dec,2020
An aerialist on listening to your body's signals,Adie Delaney,/talks/adie_delaney_an_aerialist_on_listening_to_your_body_s_signals?language=en,Dec,2020
The myth of Loki and the deadly mistletoe,Iseult Gillespie,/talks/iseult_gillespie_the_myth_of_loki_and_the_deadly_mistletoe?language=en,Dec,2020
It takes a community to eradicate hate,Wale Elegbede,/talks/wale_elegbede_it_takes_a_community_to_eradicate_hate?language=en,Dec,2020
Inside the massive (and unregulated) world of surveillance tech,Sharon Weinberger,/talks/sharon_weinberger_inside_the_massive_and_unregulated_world_of_surveillance_tech?language=en,Dec,2020
Why is pneumonia so dangerous?,Eve Gaus and Vanessa Ruiz,/talks/eve_gaus_and_vanessa_ruiz_why_is_pneumonia_so_dangerous?language=en,Nov,2020
The city planting a million trees in two years,Yvonne Aki-Sawyerr,/talks/yvonne_aki_sawyerr_the_city_planting_a_million_trees_in_two_years?language=en,Nov,2020
"How to come out at work, about anything",Micah Eames,/talks/micah_eames_how_to_come_out_at_work_about_anything?language=en,Nov,2020
How reverse mentorship can help create better leaders,Patrice Gordon,/talks/patrice_gordon_how_reverse_mentorship_can_help_create_better_leaders?language=en,Nov,2020
How COVID-19 human challenge trials work — and why I volunteered,Sophie Rose,/talks/sophie_rose_how_covid_19_human_challenge_trials_work_and_why_i_volunteered?language=en,Nov,2020
Could we treat spinal cord injuries with asparagus?,Andrew Pelling,/talks/andrew_pelling_could_we_treat_spinal_cord_injuries_with_asparagus?language=en,Nov,2020
Which bag should you use?,Luka Seamus Wright and Imogen Ellen Napper,/talks/luka_seamus_wright_and_imogen_ellen_napper_which_bag_should_you_use?language=en,Nov,2020
How quinoa can help combat hunger and malnutrition,Cedric Habiyaremye,/talks/cedric_habiyaremye_how_quinoa_can_help_combat_hunger_and_malnutrition?language=en,Nov,2020
A playful exploration of gender performance,Jo Michael Rezes,/talks/jo_michael_rezes_a_playful_exploration_of_gender_performance?language=en,Nov,2020
Can you solve the Alice in Wonderland riddle?,Alex Gendler,/talks/alex_gendler_can_you_solve_the_alice_in_wonderland_riddle?language=en,Nov,2020
What it takes to crush a pandemic,Johanna Benesty,/talks/johanna_benesty_what_it_takes_to_crush_a_pandemic?language=en,Nov,2020
The mood-boosting power of crying,Kathy Mendias,/talks/kathy_mendias_the_mood_boosting_power_of_crying?language=en,Nov,2020
A magical mantra for nurturing a blissful life,JayaShri Maathaa,/talks/jayashri_maathaa_a_magical_mantra_for_nurturing_a_blissful_life?language=en,Nov,2020
